684937,https://techplay.jp/event/684937/,CSS最新レイアウト Flexbox 徹底解説 2.0｜生明塾,2018/07/21,13:00〜15:00,ヒートウェーブ レンタルルーム東京都新宿区歌舞伎町2-46-5 KM新宿ビル 7階,5,10
684938,https://techplay.jp/event/684938/,ドットテックもくもく会@東京 #2018年8月号,2018/08/11,11:00〜17:30,コワーキングスペース茅場町 Co-Edo東京都中央区新川1-3-4 PAビル5F,1,8
684939,https://techplay.jp/event/684939/,ドットテックもくもく会@大阪 #2018年8月号,2018/08/11,11:00〜17:30,ドットテック大阪支社大阪府大阪市中央区久太郎町2-4-16 創空KYUTARO 405,3,6
684940,https://techplay.jp/event/684940/,経験豊富なAIエンジニアが教える、実務で使える機械学習講座‐AIジョブカレ第22期,2018/07/25,19:30〜21:30,PMO東新橋２F東京都 港区 東新橋2-12-1,2,20
684941,https://techplay.jp/event/684941/,経験豊富なAIエンジニアが教える、実務で使える機械学習講座‐AIジョブカレ第22期,2018/07/25,19:30〜21:30,ＰＭＯ東新橋東京都 港区 東新橋2-12-1,"",20
684946,https://techplay.jp/event/684946/,【サポーターズ勉強会】文書分類で自然言語処理に触れる,2018/07/31,19:30〜21:00,渋谷スクエアA 11F東京都渋谷区道玄坂1-9-5,"",20
684947,https://techplay.jp/event/684947/,大注目上場を果たしたメルカリのアプリマーケティングを徹底解剖！,2018/07/27,18:00〜20:00,メルカリオフィス〒106-6118　東京都港区六本木6-10-1　六本木ヒルズ森タワー18F,11,18
684948,https://techplay.jp/event/684948/,吉祥寺 IT KiDS「こどもプログラミング教室」無料体験教室,2018/07/18,16:00〜16:30,IT KiDS 武蔵野緑町教室〒180-0012 東京都武蔵野市 緑町1丁目4−8,I KS 武蔵野緑町教室,""
684949,https://techplay.jp/event/684949/,【メンター募集】第18回 CoderDojo大津,2018/07/28,13:00〜18:00,オプテックスにおの浜ビル ２F わいがやサロン滋賀県大津市におの浜４丁目７−５,1,""
684950,https://techplay.jp/event/684950/,武蔵野緑町 IT KiDS「こどもプログラミング教室」無料体験教室,2018/07/17,16:00〜16:30,IT KiDS 武蔵野緑町教室〒180-0012 東京都武蔵野市 緑町1丁目4−8,I KS 武蔵野緑町教室,""
684951,https://techplay.jp/event/684951/,第18回 CoderDojo大津,2018/07/28,14:00〜17:00,オプテックスにおの浜ビル 2階 わいがやサロン滋賀県大津市におの浜４丁目７−５,"",10
684952,https://techplay.jp/event/684952/,札幌C++勉強会/もくもく会 #125,2018/07/19,20:00〜23:00,"",1,""
684954,https://techplay.jp/event/684954/,Dyverse Blockchain x AR Game Meetup Tokyo,2018/08/02,19:00〜21:00,Neutrino Japan〒150-0031 東京都渋谷区桜丘町12-10 住友不動産渋谷インフォスアネックス1階 ,2,35
684955,https://techplay.jp/event/684955/,obnizハンズオン#1,2018/08/22,19:00〜21:00,Connecting The Dots YOYOGI 地下1F東京都渋谷区代々木1-29-5 (ＹＫビル 地下１Ｆ),1,18
684956,https://techplay.jp/event/684956/,Google Cloud Next 2018 Extended App & Infra Day,2018/08/24,18:50〜21:50,六本木ヒルズ 森タワー Google Japan東京都港区六本木６丁目１０−１,"",158
684957,https://techplay.jp/event/684957/,沖縄IT女子会#1,2018/08/04,13:00〜15:30,株式会社プロトソリューション（第2ビル）〒 901-2223 沖縄県宜野湾市大山 7-10-14 プロト宜野湾第2ビル ,11,20
684959,https://techplay.jp/event/684959/,Python Boot Camp in 京都,2018/08/25,13:00〜17:00,株式会社はてな 京都オフィス 8F京都府京都市中京区御池通間之町東入高宮町206 (御池ビル8F),1,34
684960,https://techplay.jp/event/684960/,Google Cloud Next 2018 Extended BigData & ML Day,2018/08/17,18:50〜21:50,六本木ヒルズ 森タワー Google Japan東京都港区六本木６丁目１０−１,"",158
684961,https://techplay.jp/event/684961/,デザイナーの放課後 #3 デザイナーが語る「ブランディング」の現場,2018/08/07,19:30〜22:00,株式会社LIFULL　2F ワーキングスペース「LIFULL HUB」東京都千代田区麹町1-4-4,"",40
684962,https://techplay.jp/event/684962/,酔いどれGCPUG Next報告会,2018/08/08,18:30〜21:30,株式会社マネーフォワード東京都港区芝浦3-1-21（msb Tamachi 田町ステーションタワーS 21F）,"",90
684963,https://techplay.jp/event/684963/,経験豊富なAIエンジニアが教える、実務で使える機械学習講座‐AIジョブカレ第22期,2018/07/25,19:30〜21:30,ＰＭＯ東新橋東京都 港区 東新橋2-12-1,ＰＭＯ東新橋,""
684965,https://techplay.jp/event/684965/,カイゼン・ジャーニー 著者による本読みの会 第09話「一人からチームへ」再放送,2018/07/21,08:00〜08:30,"",3,40
684969,https://techplay.jp/event/684969/,"2時間で学ぶレスポンシブHTML,CSS実践基礎講座",2018/07/29,15:00〜17:00,東京都世田谷区上北沢3-10-15 アクロキューブ株式会社,"",6
684970,https://techplay.jp/event/684970/,"2時間で学ぶレスポンシブHTML,CSS実践基礎講座",2018/07/22,15:00〜17:00,東京都世田谷区上北沢3-10-15 アクロキューブ株式会社,"",6
684983,https://techplay.jp/event/684983/,【未経験歓迎-SQL講座】データサイエンティストから体系的に学ぶスクール‐AIジョブカレ,2018/08/31,19:30〜21:30,PMO東新橋２F東京都 港区 東新橋2-12-1,0,20
684984,https://techplay.jp/event/684984/,【初学者歓迎】Python入門＋機械学習で必要な数学講座開講‐AIジョブカレ第4期,2018/08/20,19:30〜21:30,PMO東新橋２F東京都 港区 東新橋2-12-1,2,20
684985,https://techplay.jp/event/684985/,【オラクル、クライド共催】ABMを実現するためのMA・データ活用セミナー,2018/08/07,15:00〜17:00,日本オラクル株式会社　13階会議室港区北青山2-5-8　オラクル青山センター,"",10
684994,https://techplay.jp/event/684994/,【未経験歓迎-SQL講座】データサイエンティストから体系的に学ぶスクール‐AIジョブカレ,2018/08/31,19:30〜21:30,  ​PMO東新橋２F エッジコンサルティング株式会社 東京都 港区 東新橋2-12-1　 ​PMO東新橋２F,"",20
685001,https://techplay.jp/event/685001/,【初学者歓迎！】Python入門＋機械学習で必要な数学講座開講‐AIジョブカレ第4期開講,2018/08/20,19:30〜21:30,  ​PMO東新橋２F エッジコンサルティング株式会社 東京都 港区 東新橋2-12-1　 ​PMO東新橋２F,"",20
685002,https://techplay.jp/event/685002/,Meguro.rb#17 2018/07/31(Tue.) at アカツキ,2018/07/31,19:00〜22:00,株式会社アカツキ東京都品川区上大崎2-13-30 oak meguro 8階,1,40
685004,https://techplay.jp/event/685004/,Women Who Go Tokyo #25 ステップアップGo,2018/07/31,19:00〜21:00,株式会社メルカリ東京都港区六本木６丁目１０−１ 六本木ヒルズ森タワー 18F,9,13
685007,https://techplay.jp/event/685007/,【名古屋で開催！】データから価値を見つけ出す！データサイエンティストスタートダッシュセミナー,2018/07/25,19:30〜21:00,fabbit栄名古屋市中区栄三丁目15-27 いちご栄ビル9F fabbit栄,"",20
685008,https://techplay.jp/event/685008/,品質、データ、UXの視点で考える「本当にいいアプリ」とは？App Meetup #3,2018/07/25,05:30〜20:30,株式会社グッドパッチ東京都渋谷区鴬谷町3-3(VORT渋谷south 2階),"",30
685010,https://techplay.jp/event/685010/,【京都】LINE Developer Meetup #42,2018/07/26,19:00〜22:00,LINE KYOTO ラボスペース京都府京都市下京区四条通麸屋町西入る立売東町28番地 SAKIZO PLAZA B1F,"",35
685012,https://techplay.jp/event/685012/,仙台で開催「なりたい！」から「目指す！」へ！データサイエンティストの仕事がわかるハンズオンセミナー！,2018/07/17,19:30〜21:00,enspace宮城県仙台市青葉区国分町1-4-9 芭蕉の辻AGOビル,2,20
685014,https://techplay.jp/event/685014/,Progateもくもく会！@Progateオフィス,2018/07/20,10:00〜13:30,Progateオフィス東京都渋谷区神泉町10-10 アシジ神泉ビル8F,15,15
685015,https://techplay.jp/event/685015/,【サポーターズCoLab勉強会】オンラインゲームのしくみを知ってみよう,2018/08/01,19:45〜21:15,渋谷スクエアA 11F東京都渋谷区道玄坂1-9-5,"",20
685016,https://techplay.jp/event/685016/,【学生限定】ブロックチェーンアプリDapps開発勉強会,2018/08/12,18:00〜22:00,新宿某所(後ほどお知らせします)新宿,"",20
685018,https://techplay.jp/event/685018/,PyLadies Handbook 翻訳しNight 〜第4夜〜,2018/08/06,19:00〜21:00,株式会社ビープラウド東京都渋谷区千駄ヶ谷5-32-7-4F,1,24
685019,https://techplay.jp/event/685019/,【初心者歓迎】イイラボAndroid部 #5,2018/08/17,20:00〜22:00,日本経営道協会東京都千代田区外神田2-2-19(丸和ビル2F),"",25
685020,https://techplay.jp/event/685020/,Androidエンジニア デザイン部 #2,2018/08/07,19:00〜22:00,株式会社ミクシィ 7F コラボレーションルーム東京都渋谷区東1-2-20(住友不動産渋谷ファーストタワー7F),30,69
685021,https://techplay.jp/event/685021/,SIGIR2018 報告会 〜世界の検索テクノロジーとメルカリの未来〜,2018/08/08,19:30〜21:30,株式会社メルカリ東京都港区六本木6-10-1(六本木ヒルズ森タワー18F),"",50
685024,https://techplay.jp/event/685024/,「コンテキストの理解と実践」UXワークショップ：【第40回】,2018/09/07,19:00〜21:30,TAMコワーキング東京東京都千代田区神田小川町3-28-9　三東ビル1F,16,30
685029,https://techplay.jp/event/685029/,DDD.rb #20 (PlantUML),2018/07/28,13:00〜17:00,本町オープンソースラボ（株式会社SOU）大阪市中央区瓦町3-4-9 ステーツ本町ビル8F,2,10
685033,https://techplay.jp/event/685033/,最大6名の少人数制　webマーケティングとは？新任webマーケティング担当者向け 入門編,2018/08/23,13:30〜16:30,サポタント株式会社　東京本社セミナールーム東京都港区南青山1-1-1　新青山ビル 東館19F,"",5
685037,https://techplay.jp/event/685037/,第26回バーチャル・サミット関西,2018/07/27,19:30〜21:30,株式会社モノビット　神戸本社セミナールーム神戸市中央区京町78番地 三宮京町ビル 3階 A号室,10,35
685038,https://techplay.jp/event/685038/,TX.rb第23回,2018/07/22,13:00〜17:00,31VENTURES KOIL6F内 KOILスタジオ千葉県柏市若柴178番地4,1,20
685039,https://techplay.jp/event/685039/,【初学者歓迎】Python入門＋機械学習で必要な数学講座開講‐AIジョブカレ第4期,2018/08/20,19:30〜21:30,PMO東新橋２F　エッジコンサルティング株式会社 港区 東新橋2-12-1  ​PMO東新橋２F,"",20
